varying_prompt,varying_param,varying_value,person_threshold,person_mask_threshold,violin_threshold,violin_mask_threshold,violin_bow_threshold,violin_bow_mask_threshold,iou_frame,mean_iou,mean_precision,mean_recall,mean_f0.5
baseline,,,0.4,0.25,0.4,0.3,0.2,0.2,0.9738,0.9738,0.9916,0.9819,0.9896
violin_bow,threshold,0.05,0.4,0.25,0.4,0.3,0.05,0.2,0.9736,0.9736,0.991,0.9823,0.9892
violin_bow,threshold,0.1,0.4,0.25,0.4,0.3,0.1,0.2,0.9736,0.9736,0.9912,0.9821,0.9894
violin_bow,threshold,0.15,0.4,0.25,0.4,0.3,0.15,0.2,0.9738,0.9738,0.9916,0.9819,0.9896
violin_bow,threshold,0.2,0.4,0.25,0.4,0.3,0.2,0.2,0.9738,0.9738,0.9916,0.9819,0.9896
violin_bow,threshold,0.25,0.4,0.25,0.4,0.3,0.25,0.2,0.9735,0.9735,0.9918,0.9815,0.9897
violin_bow,threshold,0.3,0.4,0.25,0.4,0.3,0.3,0.2,0.9735,0.9735,0.9918,0.9815,0.9897
violin_bow,threshold,0.35,0.4,0.25,0.4,0.3,0.35,0.2,0.9735,0.9735,0.9918,0.9815,0.9897
violin_bow,threshold,0.5,0.4,0.25,0.4,0.3,0.5,0.2,0.9735,0.9735,0.9918,0.9814,0.9897
violin_bow,threshold,0.6,0.4,0.25,0.4,0.3,0.6,0.2,0.9648,0.9648,0.9922,0.9722,0.9881
violin_bow,threshold,0.7,0.4,0.25,0.4,0.3,0.7,0.2,0.9648,0.9648,0.9922,0.9722,0.9881
violin_bow,mask_threshold,0.05,0.4,0.25,0.4,0.3,0.2,0.05,0.9729,0.9729,0.9891,0.9834,0.988
violin_bow,mask_threshold,0.1,0.4,0.25,0.4,0.3,0.2,0.1,0.9734,0.9734,0.9903,0.9827,0.9888
violin_bow,mask_threshold,0.15,0.4,0.25,0.4,0.3,0.2,0.15,0.9736,0.9736,0.9911,0.9822,0.9893
violin_bow,mask_threshold,0.2,0.4,0.25,0.4,0.3,0.2,0.2,0.9738,0.9738,0.9916,0.9819,0.9896
violin_bow,mask_threshold,0.25,0.4,0.25,0.4,0.3,0.2,0.25,0.9736,0.9736,0.9918,0.9815,0.9897
violin_bow,mask_threshold,0.3,0.4,0.25,0.4,0.3,0.2,0.3,0.9735,0.9735,0.992,0.9812,0.9898
violin_bow,mask_threshold,0.35,0.4,0.25,0.4,0.3,0.2,0.35,0.9733,0.9733,0.9921,0.9809,0.9898
violin_bow,mask_threshold,0.5,0.4,0.25,0.4,0.3,0.2,0.5,0.9725,0.9725,0.9923,0.98,0.9898
violin_bow,mask_threshold,0.6,0.4,0.25,0.4,0.3,0.2,0.6,0.9718,0.9718,0.9923,0.9793,0.9896
violin_bow,mask_threshold,0.7,0.4,0.25,0.4,0.3,0.2,0.7,0.9711,0.9711,0.9923,0.9785,0.9895
