varying_prompt,varying_param,varying_value,person_threshold,person_mask_threshold,violin_threshold,violin_mask_threshold,violin_bow_threshold,violin_bow_mask_threshold,iou_frame,mean_iou,mean_precision,mean_recall,mean_f0.5
baseline,,,0.4,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.05,0.05,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.1,0.1,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.15,0.15,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.25,0.25,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.35,0.35,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.5,0.5,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.6,0.6,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,threshold,0.7,0.7,0.3,0.4,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
person,mask_threshold,0.05,0.4,0.05,0.4,0.3,0.2,0.2,0.9142,0.9142,0.9254,0.987,0.9371
person,mask_threshold,0.1,0.4,0.1,0.4,0.3,0.2,0.2,0.9474,0.9474,0.9606,0.9857,0.9655
person,mask_threshold,0.15,0.4,0.15,0.4,0.3,0.2,0.2,0.9624,0.9624,0.9767,0.985,0.9783
person,mask_threshold,0.2,0.4,0.2,0.4,0.3,0.2,0.2,0.9699,0.9699,0.9855,0.984,0.9852
person,mask_threshold,0.25,0.4,0.25,0.4,0.3,0.2,0.2,0.9738,0.9738,0.9916,0.9819,0.9896
person,mask_threshold,0.35,0.4,0.35,0.4,0.3,0.2,0.2,0.971,0.971,0.9969,0.9739,0.9922
person,mask_threshold,0.5,0.4,0.5,0.4,0.3,0.2,0.2,0.9568,0.9568,0.9987,0.958,0.9903
person,mask_threshold,0.6,0.4,0.6,0.4,0.3,0.2,0.2,0.9445,0.9445,0.9987,0.9456,0.9876
person,mask_threshold,0.7,0.4,0.7,0.4,0.3,0.2,0.2,0.9294,0.9294,0.9987,0.9305,0.9843
violin,threshold,0.05,0.4,0.3,0.05,0.3,0.2,0.2,0.9737,0.9737,0.995,0.9785,0.9916
violin,threshold,0.1,0.4,0.3,0.1,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9783,0.9916
violin,threshold,0.15,0.4,0.3,0.15,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9783,0.9916
violin,threshold,0.2,0.4,0.3,0.2,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
violin,threshold,0.25,0.4,0.3,0.25,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
violin,threshold,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
violin,threshold,0.35,0.4,0.3,0.35,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
violin,threshold,0.5,0.4,0.3,0.5,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
violin,threshold,0.6,0.4,0.3,0.6,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
violin,threshold,0.7,0.4,0.3,0.7,0.3,0.2,0.2,0.9735,0.9735,0.995,0.9782,0.9916
violin,mask_threshold,0.05,0.4,0.3,0.4,0.05,0.2,0.2,0.972,0.972,0.9915,0.9802,0.9892
violin,mask_threshold,0.1,0.4,0.3,0.4,0.1,0.2,0.2,0.973,0.973,0.9929,0.9798,0.9902
violin,mask_threshold,0.15,0.4,0.3,0.4,0.15,0.2,0.2,0.9733,0.9733,0.9936,0.9794,0.9907
violin,mask_threshold,0.2,0.4,0.3,0.4,0.2,0.2,0.2,0.9734,0.9734,0.9942,0.979,0.9911
violin,mask_threshold,0.25,0.4,0.3,0.4,0.25,0.2,0.2,0.9736,0.9736,0.9948,0.9785,0.9915
violin,mask_threshold,0.35,0.4,0.3,0.4,0.35,0.2,0.2,0.973,0.973,0.9952,0.9777,0.9916
violin,mask_threshold,0.5,0.4,0.3,0.4,0.5,0.2,0.2,0.9716,0.9716,0.9953,0.9761,0.9914
violin,mask_threshold,0.6,0.4,0.3,0.4,0.6,0.2,0.2,0.9705,0.9705,0.9953,0.975,0.9912
violin,mask_threshold,0.7,0.4,0.3,0.4,0.7,0.2,0.2,0.9693,0.9693,0.9953,0.9738,0.9909
